138,138,138
694,694,694
622,622,622
2174,2174,2174
8333,8457,8457
180,180,180
1040,1040,1040
1289,1289,1289
4690,4695,4695
19999,20459,20459
200,200,200
578,578,578
2218,2301,2301
300,353,353
698,698,698
1928,1928,1928
1399,1399,1399
719,734,734
324,324,324
786,797,797
899,1011,1011
1201,1201,1201
1505,1505,1505
323,323,323
399,440,440
816,853,853
450,474,474
232,235,235
739,744,744
999,999,999
646,656,656
883,1081,1081
1299,1356,1356
279,279,279
870,877,877
683,687,687
536,566,622
626,648,731
566,609,697
2188,2292,2663
2500,2704,2856
2300,2621,2755
4500,4917,5041
8,8,8
60,60,60
248,248,248
499,499,499
5,5,5
92,92,92
100,100,100
498,498,498
12,12,12
70,70,71
222,226,228
320,320,320
9,9,9
123,124,130
598,598,598
1740,1761,1768
25,25,26
140,146,152
586,586,587
1200,1200,1249
23,23,23
505,508,509
879,885,887
54,54,54
60,60,60
2210,2267,2310
919,922,938
517,517,532
12998,12998,13059
10000,10000,10077
44444,44826,45270
24999,25534,26305
52000,54905,58093
130,132,139
168,168,168
177,179,189
199,204,235
85,87,96
99,99,99
80,82,82
122,124,149
1600,1771,1904
2100,2100,2340
3499,3499,3575
200,200,206
480,480,513
507,54444594,73111139
394,394,394
239999,239999,242410
1285185,1306845,1311803
8700,8710,8876
10800,10958,11603
49,49,49
311,311,378
520,528,542
2500,2560,2670
50,50,50
166,166,202
79,79,79
106,118,119
200,200,200
500,542,561
613,644,648
855,855,873
159,161,164
34,34,34
30,30,30
60,60,60
114,117,119
200,200,200
40,40,56
125,289,332
610,610,620
35998,36109,36818
160,163,171
150,150,150
610,610,622
2500,2500,2524
88,88,92
150,150,150
823,833,848
2500,2521,2620
213,219,223
67,67,70
370,392,418
1300,1631,1881
1000,1017,1055
7831,7885,7914
950,950,972
999,1007,1127
997,997,997
2598,2598,2598
2149,2149,2151
2100,2103,2185
2049,2049,2049
4080,4080,4254
4809,4809,4830
4000,4017,4040
